tm_index,action,selected_K,PR,DB,decision_ms
760,K200,200,0.9999969461474052,0.001093005739055634,63.5
761,K200,200,0.9999916406319606,0.0014307845910057535,123.6
762,K200,200,0.9997769327343803,0.0010863577732144894,63.1
763,K200,200,0.9999431175488848,0.001363705139887309,62.6
764,K200,200,0.9998013647257812,0.0009221908284561663,60.9
765,K200,200,0.9999333034292626,0.0014261910902562903,61.4
766,K200,200,0.9999239005931694,0.000475195779041107,62.8
767,K200,200,0.9999404257551828,0.0016118657045995164,62.4
768,K200,200,0.9999310564367706,0.0008984391069530555,62.9
769,K200,200,0.9996627300915744,0.0012718250615529824,63.2
770,K200,200,0.9996859712444706,0.0015394237113521825,63.3
771,K200,200,0.9998318938288746,0.0017931623138062178,116.6
772,K50,300,0.9999891156249958,0.07004144713177296,84.8
773,K200,200,0.9997569667879181,0.005701636483504662,62.6
774,K200,200,0.9998070376313374,0.0023327041595582365,63.1
775,K200,200,0.999855463985896,0.002876942128648824,64.2
776,K200,200,0.9997624151615058,0.04078567433573874,64.1
777,K200,200,0.9998845443245433,0.002916227973180778,65.1
778,K200,200,0.9998937603064767,0.004077950522746241,63.8
779,K200,200,0.9999304460202129,0.0008547032755208163,64.9
780,K200,200,0.9996449200103203,0.008888964586731898,119.8
781,K200,200,0.9998095192596528,0.008932457842834382,62.7
782,K200,200,0.9997217328428886,0.001434346071462798,64.7
783,K200,200,0.9997366962488574,0.002561589007399664,62.5
784,K200,200,0.9997105873736576,0.0018521571763231912,65.0
785,K200,200,0.9998834608920447,0.003104170289763245,64.5
786,K200,200,0.9999999971830948,0.0052633265084168655,63.2
787,K200,200,0.9998919436934606,0.0019146119302043626,63.7
788,K200,200,0.9999999963926923,0.0016248073696110098,62.9
789,K200,200,0.999999999601752,0.001598381489348042,63.8
790,K200,200,0.9999999977887241,0.002584113578705206,65.0
791,K200,200,0.9999999984584338,0.0012438486374101389,118.3
792,K200,200,0.9999611931411032,0.004161672700983567,66.2
793,K200,200,0.9998556035323825,0.0027394968856569854,62.8
794,K200,200,0.9998722396963916,0.003942784341534772,62.3
795,K200,200,0.9999001178088184,0.0005225154236503904,60.7
796,K200,200,0.9999101588575189,0.003560455699638588,63.7
797,K200,200,0.9998505214182629,0.0039309055355451535,62.8
798,K200,200,0.9995629001667601,0.0015920640066174748,61.7
799,K200,200,0.9996939766458293,0.0016798927384594857,62.8
800,K200,200,0.9997208934160406,0.005814029121811826,63.9
801,K200,200,0.9997172524762363,0.002512072569925546,119.6
802,K200,200,0.9998962765600876,0.0007995526365750258,62.2
803,K200,200,0.9998376176021886,0.0019019509197596863,63.9
804,K200,200,0.9997649680598828,0.002363608444399376,62.9
805,K200,200,0.9998211754720602,0.002076065566421435,63.1
806,K200,200,0.9999390005958029,0.0014614874376675767,62.4
807,K200,200,0.999788776689915,0.0026808558054814404,64.4
808,K200,200,0.9997526232089965,0.0031855197415837,62.6
809,K200,200,0.9997593761093523,0.002931047796613394,61.3
810,K200,200,0.9999549549303536,0.0005715971066173276,62.1
811,K200,200,0.9999301105502649,0.004831915657397629,116.9
812,K200,200,0.9999514189082136,0.0022288043946183805,61.9
813,K200,200,0.9999397793317605,0.0014848974939515515,60.5
814,K200,200,0.9999472869463357,0.0025651355055070868,62.3
815,K200,200,0.9999198279596043,0.002984278444787835,63.0
816,K200,200,0.9999350443526015,0.0011806148929243826,61.2
817,K200,200,0.9998704737876034,0.004929494536406607,62.0
818,K200,200,0.9999538771352446,0.0009708724944697634,64.0
819,K200,200,0.9999447430365944,0.0005336224206918988,61.2
820,K200,200,0.9999332992786716,0.0026363966843120598,61.0
821,K200,200,0.9998906702084056,0.0005006505923808732,60.9
822,K200,200,0.9998963349421119,0.0015154493069585954,117.0
823,K200,200,0.9998865759854296,0.0002543907438099843,61.7
824,K200,200,0.9998892325077556,0.0005562470707575323,60.3
825,K200,200,0.9998997608447748,0.0035463759401846706,61.6
826,K200,200,0.9998640483891402,0.00036345368207479044,60.8
827,K200,200,0.9999168556517294,0.0019514308644103403,63.3
828,K200,200,0.9998424113849677,0.003709366402003519,61.9
829,K200,200,0.9999044661666255,0.0030748551660311407,61.0
830,K200,200,0.9999147474155772,0.0012546974239719807,61.0
831,K200,200,0.9997044296933477,0.0013482557466419256,118.7
832,K200,200,0.999939292920645,0.0028956308816119563,61.4
833,K200,200,0.9998435664530502,0.0026079891525931606,62.7
834,K200,200,0.9997982974781273,0.0038466237524911037,63.4
835,K200,200,0.9997738527176337,0.005369880270124871,63.0
836,K200,200,0.9997462209917726,0.0018515465395900035,63.8
837,K200,200,0.9997910216450523,0.00142100431805009,64.8
838,K200,200,0.9999543084606141,0.0009498941706224412,64.2
839,K200,200,0.999900133053333,0.001032842593663785,64.6
840,K200,200,0.9998058431854127,0.002889442449472572,62.4
841,K200,200,0.9999400406298578,0.0022837002781280185,118.0
842,K200,200,0.9998397758160505,0.00240853168028136,63.2
843,K200,200,0.9998181496723549,0.0044564042527598016,62.6
844,K200,200,0.9995909061913035,0.0057903629115767215,62.8
845,K200,200,0.9996382250745627,0.003204648465865764,63.9
846,K200,200,0.9998686265665769,0.0019109488910044419,66.2
847,K200,200,0.9998463263258672,0.003165269008387334,64.0
848,K200,200,0.9998824313944782,0.00040741630117460947,62.8
849,K200,200,0.9999432144705567,0.0012122933604498563,62.9
850,K200,200,0.9999059856166153,0.004202577034439052,125.2
851,K200,200,0.9998547091703243,0.001462857011005824,134.1
852,K200,200,0.9999337878786472,0.0010248576687181055,66.2
853,K200,200,0.9999065042424572,0.0011239091870948275,68.2
854,K200,200,0.9998343087606242,0.0018713893188149035,67.7
855,K200,200,0.9997147402371126,0.0032122746366884634,63.3
856,K200,200,0.9999139006362496,0.001370569398692419,66.0
857,K200,200,0.9998729767403328,0.0023448649845295043,64.5
858,K200,200,0.9998866198622909,0.0029966100483664374,63.7
859,K200,200,0.9998396741912887,0.0020393409578208332,63.2
860,K200,200,0.9997931840197387,0.0011898100721340894,63.2
861,K200,200,0.9997890294238241,0.003360787080497609,63.0
862,K200,200,0.9998908812438021,0.0036262349639558066,128.6
863,K200,200,0.9999696543477684,0.002599727741710232,62.6
864,K200,200,0.9997084320015185,0.0015544094937361022,63.0
865,K200,200,0.9998844073441902,0.0015673157833591186,62.4
866,K200,200,0.9999091240526996,0.0005581261000920566,62.1
867,K200,200,0.9999339303679793,0.00261495169019113,63.2
868,K200,200,0.9999229516154495,0.0028825823179626188,62.9
869,K200,200,0.9999257831778537,0.0028122920076230646,62.9
870,K200,200,0.9999470785176631,0.001647787844263781,62.4
871,K200,200,0.9999310154547008,0.002420328119758711,116.6
872,K200,200,0.9998212394199719,0.0026989413585198035,61.5
873,K200,200,0.9998819356860493,0.0008657755396904098,61.7
874,K200,200,0.9998917853387725,0.0027196059547549205,62.3
875,K200,200,0.9997691152856717,0.00024145960576393377,61.2
